Country,Capital,Latitude,Longitude,Population,real_population,,,,,,,
Afghanistan,Kabul,34.4667,69.1833,"3,324",3324000,,,,,,,
Albania,Tirane,41.3,19.8167,406,406000,yes,406,Albania,Tirana,,,
Algeria,Algiers,36.7,3.1333,"3,355",3355000,yes,"3,355",Algeria,Algiers,,,
American Samoa,Pago Pago,-14.2667,-170.7167,58,58000,yes,58,American Samoa,Pago Pago,,,
Andorra,Andorra la Vella,42.5167,1.5333,24,24000,yes,24,Andorra,Andorra la Vella,,,
Angola,Luanda,-8.8333,13.25,"4,007",4007000,yes,"4,007",Angola,Luanda,,,
Antigua and Barbuda,W. Indies,17.3333,-61.8,26,26000,yes,26,Antigua and Barbuda,"St. John's, Saint John",,,
Argentina,Buenos Aires,-36.5,-60,"12,792",12792000,yes,"12,792",Argentina,Buenos Aires,,,
Armenia,Yerevan,40.1667,44.5167,"1,102",1102000,yes,"1,102",Armenia,Yerevan,,,
Aruba,Oranjestad,12.5333,-70.0333,32,32000,yes,32,Aruba,"Oranjestad, Aruba",,,
Australia,Canberra,-35.25,149.1333,378,378000,yes,378,Australia,Canberra,,,
Austria,Vienna,48.2,16.3667,"2,315",2315000,yes,"2,315",Austria,Vienna,,,
Azerbaijan,Baku,40.4833,49.9333,"1,892",1892000,yes,"1,892",Azerbaijan,Baku,,,
Bahamas,Nassau,25.0833,-77.3333,240,240000,yes,240,Bahamas,"Nassau, Bahamas",,,
Bahrain,Manama,26.1667,50.5,157,157000,yes,157,Bahrain,Manama,,,
Bangladesh,Dhaka,23.7167,90.4333,"13,476",13476000,yes,"13,476",Bangladesh,Dhaka,,,
Barbados,Bridgetown,13.0833,-59.5,116,116000,yes,116,Barbados,Bridgetown,,,
Belarus,Minsk,53.8667,27.5,"1,806",1806000,yes,"1,806",Belarus,Minsk,,,
Belgium,Brussels,50.85,4.35,"1,743",1743000,yes,"1,743",Belgium,Brussels,,,
Belize,Belmopan,17.3,-88.5,16,16000,yes,16,Belize,Belmopan,,,
Benin,Porto-Novo (constitutional cotonou) (seat of gvnt),6.3833,2.7,762,762000,yes,762,Benin,Cotonou,,,
Bhutan,Thimphu,27.5167,89.75,83,83000,yes,83,Bhutan,Thimphu,,,
Bolivia,La Paz (adm.)/sucre (legislative),-16.3333,-68.1667,"1,590",1590000,yes,"1,590",Bolivia,La Paz,,,
Bosnia and Herzegovina,Sarajevo,43.8667,18.4333,377,377000,yes,377,Bosnia and Herzegovina,Sarajevo,,,
Botswana,Gaborone,-24.75,25.95,224,224000,yes,224,Botswana,Gaborone,,,
Brazil,Brasilia,-15.7833,-47.9167,"3,594",3594000,yes,"3,594",Brazil,Brasília,,,
British Virgin Islands,Road Town,18.45,-64.6167,9,9000,yes,9,British Virgin Islands,Road Town,,,
Brunei Darussalam,Bandar Seri Begawan,4.8667,115,22,22000,yes,22,Brunei Darussalam,Bandar Seri Begawan,,,
Bulgaria,Sofia,42.75,23.3333,"1,186",1186000,yes,"1,186",Bulgaria,Sofia,,,
Burkina Faso,Ouagadougou,12.25,-1.5,"1,148",1148000,yes,"1,148",Burkina Faso,Ouagadougou,,,
